borsh-derive	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-derive-0.10.4.crate	3081	831213f80d9423998dd696e2c5345aba6be7a0bd8cd19e31c5243e13df1cef89	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-derive-0.10.4	6	8418:29e5f0a4677a48aedb8679d969a27751b984b788bf61a218d6bab75a3ca44d4d
borsh-derive	1.5.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-derive-1.5.7.crate	27246	fdd1d3c0c2f5833f22386f252fe8ed005c7f59fdcddeef025c01b4c3b9fd9ac3	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-derive-1.5.7	30	172175:2053da1fb6bb935f20186e63d8b2fad90ac83a185a0319e288816e42f22a89de
borsh-derive-internal	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-derive-internal-0.10.4.crate	5330	65d6ba50644c98714aa2a70d13d7df3cd75cd2b523a2b452bf010443800976b3	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-derive-internal-0.10.4	13	24745:3c51d4f28f49ec1c7878b7f71848ce3dc9d2411682182557e9477606f0835d52
borsh-schema-derive-internal	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-schema-derive-internal-0.10.4.crate	6369	276691d96f063427be83e6692b86148e488ebba9f48f77788724ca027ba3b6d4	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-schema-derive-internal-0.10.4	9	41309:40e06b040f6dbac6fb082fd0c5ba9232477d90dd7de7d1b4bb051f235c1e1536
bs58	0.5.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bs58-0.5.1.crate	28483	bf88ba1141d185c399bee5288d850d63b8369520c1eafc32a0430b5b6c287bf4	registry/src/index.crates.io-1949cf8c6b5b557f/bs58-0.5.1	25	116921:68551bc8937a3bb0f8eb3205fdba56483e057776465b386a75b00ca7153fe760
bumpalo	3.20.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bumpalo-3.20.3.crate	98671	72f5acc6cb2ba439de613abc23857ec3d78374d8ed5ac84e9d11336e87da8649	registry/src/index.crates.io-1949cf8c6b5b557f/bumpalo-3.20.3	21	424356:e9d080378cac77acd0438f545b33405ae83f6aa4add576fcc5cc655ad29d3d5c
bv	0.11.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bv-0.11.1.crate	42061	8834bb1d8ee5dc048ee3124f2c7c1afcc6bc9aed03f11e9dfd8c69470a5db340	registry/src/index.crates.io-1949cf8c6b5b557f/bv-0.11.1	42	205971:15ed705d3221db8a7d27c7097ebdb37d1e9d6353de2ea882807b0eb83284f985
bytemuck	1.25.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bytemuck-1.25.0.crate	53466	c8efb64bd706a16a1bdde310ae86b351e4d21550d98d056f22f8a7f7a2183fec	registry/src/index.crates.io-1949cf8c6b5b557f/bytemuck-1.25.0	39	228552:16dec78de624bd0ee096539b4e8b3654a56bd65e6e148aab9c304f4c528da247
bytemuck_derive	1.10.2	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bytemuck_derive-1.10.2.crate	25678	f9abbd1bc6865053c427f7198e6af43bfdedc55ab791faed4fbd361d789575ff	registry/src/index.crates.io-1949cf8c6b5b557f/bytemuck_derive-1.10.2	13	107616:c0a7b6550bd07982d85a95ac86e564021afd8900c31b47e9491eda0d31cfb9a7
byteorder	1.5.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/byteorder-1.5.0.crate	23288	1fd0f2584146f6f2ef48085050886acf353beff7305ebd1ae69500e27c67f64b	registry/src/index.crates.io-1949cf8c6b5b557f/byteorder-1.5.0	15	185495:8ecca1cf5cf4959bbc3dfbd10eeaa18bc75e3cf31c668492ad040eac1a45ee7c
