Feature                                      | Status                  | Activation Slot | Description
6aHuNsUmwSzCEMjrBzBCYaxHAyAcQBjVES92JigHBDuC | active since epoch 0    | 0               | SIMD-0406: Maximum instruction accounts
6iyggb5MTcsvdcugX7bEKbHV8c6jdLbpHwkncrgLMhfo | active since epoch 0    | 0               | stop adding hashes for skipped slots to recent blockhashes
6oMCUgfY6BzZ6jwB681J6ju5Bh6CjVXbd7NeWYqiXBSu | active since epoch 0    | 0               | SIMD-0256: Raise block limit to 60M
6ppMXNYLhVd7GcsZ5uV11wQEW7spppiMVfqQv5SXhDpX | active since epoch 0    | 0               | enable builtin ed25519 signature verify program
6sPDzwyARRExKH52LECxcGoqziH8G7SZofwuxi8Ja331 | active since epoch 0    | 0               | SIMD-0312: Enable CreateAccountAllowPrefund system program instruction
6tRxEYKuy2L5nnv5bgn7iT28MxUbYxp5h7F3Ncf1exrT | active since epoch 0    | 0               | An instruction you can use to change a vote accounts authority when the current authority is a derived key #25860
6uaHcKPGUy4J7emLBgUTeufhJdiwhngW6a1R9B7c2ob9 | active since epoch 0    | 0               | enable sol_log_data syscall
74CoWuBmt3rUVUrCb2JiSTvh6nXyBWUsK4SaMj3CtE3T | active since epoch 0    | 0               | cpi ignore serialized_len_ptr #29592
75m6ysz33AfLA5DDEzWM1obBrnPQRSsdVQ2nRmc8Vuu1 | active since epoch 0    | 0               | support account data reallocation
76dHtohc2s5dR3ahJyBxs7eJJVipFkaPdih9CLgTTb4B | active since epoch 0    | 0               | SIMD-0249: Delay Commission Updates
79HWsX9rpnnJBPcdNURVqygpMAfxdrAirzAGAVmf92im | active since epoch 0    | 0               | disable new deployments of deprecated sol_alloc_free_ syscall
7GUcYgq4tVtaqNCKT3dho9r4665Qp5TxCZ27Qgjx3829 | active since epoch 0    | 0               | Executables incur CPI data costs
7VVhpg5oAjAmnmz1zCcSHb2Z9ecZB2FQqpnEwReka9Zm | active since epoch 0    | 0               | SIMD-0242: Static Nonce Account Only
7Vced912WrRnfjaiKRiNBcbuFw7RrnLv3E3z95Y4GTNc | active since epoch 0    | 0               | enable early verification of account modifications #25899
7VgiehxNxu53KdxgLspGQY8myE6f7UokaWa4jsGcaSz  | active since epoch 0    | 0               | SIMD-0460: Virtual Address Space Adjustments
7WeS1vfPRgeeoXArLh7879YcB9mgE9ktjPDtajXeWfXn | active since epoch 0    | 0               | disable bpf loader management instructions #34194
7XRJcS5Ud5vxGB54JbK9N2vBZVwnwdBNeJW1ibRgD9gx | active since epoch 0    | 0               | full inflation enabled by Certus One
7axKe5BTYBDD87ftzWbk5DfzWMGyRvqmWTduuo22Yaqy | active since epoch 0    | 0               | replace Lockout with LandedVote (including vote latency) in vote state #31264
7bTK6Jis8Xpfrs8ZoUfiMDPazTcdPcTWheZFJTA5Z6X4 | active since epoch 0    | 0               | Enable MoveStake and MoveLamports stake program instructions #1610
7g9EUwj4j7CS21Yx1wvgWLjSZeh5aPq8x9kpoPwXM8n8 | active since epoch 0    | 0               | limit secp256k1 recovery id
7rcw5UtqgDTBBv2EcynNfYckgdAaH1MAsCjKgXMkN7Ri | active since epoch 0    | 0               | enable curve25519 syscalls
7txXZZD6Um59YoLMF7XUNimbMjsqsWhc7g2EniiTrmp1 | active since epoch 0    | 0               | fail vote withdraw instructions which leave the account non-rent-exempt
7uZBkJXJ1HkuP6R3MJfZs7mLwymBcDbKdqbF51ZWLier | active since epoch 0    | 0               | Enable chained Merkle shreds #34916
812kqX67odAp5NFwM8D2N24cku7WTm9CHUTFUXaDkWPn | active since epoch 0    | 0               | prevent crediting rent paying accounts #26606
8199Q2gMD2kwgfopK5qqVWuDbegLgpuFUFHCcUJQDN8b | active since epoch 0    | 0               | error on bpf function hash collisions
86HpNqzutEZwLcPxS6EHDcMNYWk6ikhteg9un7Y2PBKE | active since epoch 0    | 0               | Compact vote state updates to lower block size
8C8MCtsab5SsfammbzvYz65HHauuUYdbY2DZ4sznH6h5 | active since epoch 0    | 0               | Update desired hashes per tick to 4.4M
8FdwgyHFEjhAdjWfV2vfqk7wA1g9X3fQpKH7SBpEv3kC | active since epoch 0    | 0               | require static program ids in versioned transactions
8U4skmMVnF6k2kMvrWbQuRUT3qQSiTYpSjqmhmgfthZu | active since epoch 0    | 0               | SIMD-0105: Maintain Dynamic Set of Reserved Account Keys
8We4E7DPwF2WfAN8tRTtWQNhi98B99Qpuj7JoZ3Aikgg | active since epoch 0    | 0               | Update desired hashes per tick to 7.6M
8Zs9W7D9MpSEtUWSQdGniZk2cNmV22y6FLJwCx53asme | active since epoch 0    | 0               | enable bpf upgradeable loader ExtendProgram instruction #25234
8aXvSuopd1PUj7UhehfXJRg6619RHp8ZvwTyyJHdUYsj | active since epoch 0    | 0               | fail libsecp256k1_verify if count appears wrong
8kEuAshXLsgkUEdcFVLqrjCGGHVWFW99ZZpxvAzzMtBp | active since epoch 0    | 0               | dedupe config program signers
8pgXCMNXC8qyEFypuwpXyRxLXZdpM4Qo72gJ6k87A6wL | active since epoch 0    | 0               | Native program should consume compute units #30620
8sKQrMQoUHtQSUP83SPG4ta2JDjSAiWs7t5aJ9uEd6To | active since epoch 0    | 0               | use default units per instruction in fee calculation #26785
98std1NSHqXi9WYvFShfVepRdCoq1qvsp8fsR2XZtG8g | active since epoch 0    | 0               | add compute budget ix for setting a compute unit price
9LZdXeKGeBV6hRLdxS1rHbHoEUsKqesCC2ZAPTPKJAbK | active since epoch 0    | 0               | increase tx account lock limit to 128 #27241
9gxu85LYRAcZL38We8MYJ4A9AwgBBPtVBAqebMcT1241 | active since epoch 0    | 0               | cap accounts data allocations per transaction #27375
